episode_id;episode_season;episode_imdb_rating;episode_views
530;24;7.0;44984.0
533;25;6.5;39301.0
534;25;6.7;44551.0
535;25;7.1;40671.0
531;25;7.0;47531.0
532;25;7.1;64758.0
536;25;6.5;39590.0
537;25;7.0;43717.0
538;25;6.5;39290.0
539;25;7.6;45354.0
541;25;7.2;44119.0
544;25;6.6;44271.0
540;25;7.1;40646.0
542;25;6.4;39292.0
551;25;6.7;51132.0
543;25;6.7;44512.0
545;25;7.0;41726.0
546;25;6.9;42080.0
547;25;6.5;45184.0
548;25;7.0;55742.0
552;25;6.7;46408.0
553;26;5.8;29526.0
554;26;6.9;38411.0
556;26;7.3;65425.0
555;26;6.5;42912.0
557;26;6.3;36410.0
558;26;7.9;48223.0
559;26;6.9;43513.0
560;26;6.5;38432.0
561;26;6.8;37064.0
562;26;6.8;36622.0
563;26;7.3;39702.0
564;26;5.8;35848.0
565;26;6.3;36221.0
567;26;6.6;34137.0
568;26;6.9;43023.0
26;2;8.0;58277.0
14;2;8.2;59575.0
22;2;8.1;55413.0
25;2;8.2;51182.0
28;2;8.2;47426.0
18;2;7.5;49005.0
1;1;8.2;171408.0
6;1;7.6;55355.0
5;1;8.1;63129.0
2;1;7.8;91423.0
3;1;7.5;78072.0
7;1;7.9;57793.0
4;1;7.8;67378.0
16;2;8.2;130282.0
9;1;7.5;64776.0
23;2;7.8;56486.0
24;2;8.8;50206.0
8;1;7.7;66311.0
10;1;7.4;50816.0
11;1;7.8;60458.0
12;1;8.3;62561.0
13;1;7.9;57590.0
15;2;8.3;58553.0
17;2;8.1;64959.0
19;2;8.0;50691.0
20;2;7.7;47539.0
21;2;8.4;57605.0
27;2;7.5;46823.0
29;2;7.5;47780.0
30;2;7.6;44331.0
31;2;8.0;58561.0
